region,Janvier 2013 ,Fevrier 2013,Mars 2013,Avril 2013,Mai 2013,Juin 2013,Juillet 2013,Aout 2013,Septembre 2013,Octobre 2013,Novembre 2013,Decembre 2013,Janvier 2014,Fevrier 2014,Mars 2014,Avril 2014,Mai 2014,Juin 2014,Juillet 2014,Aout 2014,Septembre 2014,Octobre 2014,Novembre 2014,Decembre 2014,Janvier 2015,Fevrier 2015,Mars 2015,Avril 2015,Mai 2015,Juin 2015,Juillet 2015,Aout 2015,Septembre 2015,Octobre 2015,Novembre 2015,Decembre 2015,Janvier 2016,Fevrier 2016,Mars 2016,Avril 2016,Mai 2016,Juin 2016,Juillet 2016,Aout 2016,Septembre 2016,Octobre 2016,Novembre 2016,Decembre 2016,Janvier 2017,Fevrier 2017,Mars 2017,Avril 2017,Mai 2017,Juin 2017,Juillet 2017,Aout 2017,Septembre 2017,Octobre 2017,Novembre 2017,Somme2013,Somme2014,Somme2015,Somme2016
Alsace,5.563573028,5.130591907,4.316020483,3.719622201,3.054826089,5.199326221,4.024339649,3.574208614,4.89893617,5.814977974,4.967707212,5.153606411,4.694356567,5.209385876,3.624722466,3.378452134,4.204059829,11.52179297,4.853259562,3.536693192,3.138351984,5.652432379,4.205811667,4.443968517,4.432862008,4.597828495,4.436548223,3.723433168,3.334091944,4.969450102,4.85730926,3.910303929,4.875687793,5.114629382,6.684155873,5.240407706,6.551141167,6.380585021,5.144746829,5.144746829,4.932011984,6.938084185,5.040455499,2.939122707,4.628741608,6.154469076,8.924714188,7.565322538,9.050088682,8.021764477,5.764338317,5.839416058,5.637416279,7.330831395,6.22106632,3.684025999,6.830256641,6.830256641,7.966221937,,,,,
Aquitaine,10.07531794,12.69240474,11.11791355,12.72661784,10.30726898,12.16879293,20.17336485,11.73913043,11.49129262,12.25939505,14.23453547,12.95160191,10.3191819,11.80820611,10.89987326,9.11262391,8.883628208,16.85230024,18.75734085,13.8651472,13.42860383,13.46049637,14.22563979,18.11769892,14.78085868,12.92770934,11.36146876,15.05056514,13.07922272,16.63875598,18.7388033,13.92647587,12.67651888,14.9330587,19.44248412,19.57728185,15.68557498,15.39225422,12.29640681,14.91862568,17.95935297,16.63015699,13.98822997,12.35428696,16.55614741,15.14181153,14.22773393,12.37794955,13.69213321,12.4504084,8.40754877,9.800971997,9.969112792,15.2139123,12.32890917,10.50615043,11.76981542,12.91288192,13.71368199,,,,,
Auvergne,8.366464996,9.3708166,8.334967641,7.247212611,8.486789432,9.067813172,12.63479511,9.139784946,8.917954816,12.96682161,17.57772463,14.6700707,10.0565682,6.401384083,6.150793651,7.74292608,8.401030315,11.61480687,6.271379704,6.082534715,8.591331269,8.06504065,9.118870997,8.695652174,7.083671812,8.564045773,4.847841472,4.05643739,4.650330889,5.935194097,7.679684936,8.574293833,7.811988208,8.104803493,14.19230769,6.551664053,7.165775401,7.069784436,7.133346015,8.675263775,9.934318555,9.819532909,7.336956522,6.237176857,8.519682129,9.007808037,11.50166389,11.64835165,11.17059243,9.404057481,10.40980607,6.558197747,8.284157966,7.520184544,8.860195904,8.042839143,6.518876207,8.013496415,,,,,,
Basse-Normandie,10.35725008,6.870229008,22.11392019,8.506674946,10.76148521,9.604519774,7.5491481,6.879871002,8.088916332,11.21577863,14.20271143,13.90161931,4.309825196,5.282271377,5.722239406,4.247226624,6.217783505,14.47688564,5.360493165,5.753803596,6.4,8.601503759,7.321187584,8.925143954,5.86259542,5.142667551,4.747320061,4.281725101,3.327895595,5.859257022,6.432591798,6.045751634,6.161137441,10.87027915,15.72836031,8.901804833,7.567735908,6.952899712,7.520981278,7.204610951,9.941520468,13.11546841,7.705627706,6.558311948,5.371900826,6.340694006,17.10174029,8.330703692,7.346559206,6.849779586,7.002716571,5.01650165,8.458346633,8.958912573,7.912844037,6.277118889,6.673083093,9.454881429,,,,,,
Bourgogne,8.25,9.584793745,11.78764624,9.917245061,11.77567604,19.48470209,9.7596217,6.787392867,12.75203632,12.90163733,14.13398693,13.12721744,6.737503019,8.472436527,9.313790806,7.487259898,8.640507333,16.8740667,8.961672474,7.925200356,8.737620659,12.51833741,13.91079685,9.450193243,8.11079369,7.506963788,7.59155646,8.523908524,7.708923991,9.60934556,10.61717738,9.139307897,9.16872001,12.53535613,12.80454042,12.07902413,9.141238573,10.45190275,9.370345295,10.23871947,12.15942029,14.26837725,10.20104244,9.079210752,9.695145885,11.06316202,19.76290098,12.60669731,10.65765532,9.156167594,10.87938363,8.011996572,7.557336281,11.64847312,13.32599119,9.57159976,12.81359162,11.08843537,11.87376168,,,,,
Bretagne,7.964904284,6.896105576,12.90206864,8.051606738,4.889056036,4.353879256,7.429037077,4.773365423,6.376247262,9.454835766,9.674625758,10.99580224,5.50051247,8.897196262,3.041870452,4.91742667,4.921968788,8.085676037,4.428191489,4.604374831,4.986218993,7.459207459,8.060453401,8.156727452,6.445475086,6.550937658,5.684786665,4.18867461,3.926157046,4.826936661,4.483347566,6.070921986,7.21574344,6.841783751,9.177095184,6.096839114,8.11605317,5.738643593,6.970509383,5.857580398,5.710925248,5.512234472,6.043720532,4.561841375,5.168112154,5.075513741,13.59543437,5.513604219,4.641812865,2.55307713,3.689064559,12.86256438,4.217385958,6.42282554,4.203923662,3.78464168,5.507535461,6.869641679,7.458997978,,,,,
Centre,10.19024489,8.664661989,8.522786256,6.936850005,5.356548741,12.3104465,11.95332212,6.614104249,10.61429168,12.37699097,13.57420789,16.68891856,6.279468495,7.06386015,7.530391715,6.342825237,7.393301221,21.7750258,9.769743921,6.587292756,6.603245663,9.259863058,9.281794321,10.05988024,7.948040511,9.372364775,7.403290351,7.352603808,6.809735044,10,11.77035535,7.809462087,8.628987129,10.52748227,13.17635866,8.590733591,9.19027437,9.13166588,8.771929825,8.712847555,10.15297311,13.97655546,9.288406118,9.260250509,10.43767313,8.284782102,17.6944017,12.16878201,12.12282759,8.651766402,7.165668663,7.549905208,8.926650893,12.03831825,8.69703054,6.585392402,8.105520689,6.869641679,14.86300645,,,,,
Champagne-Ardenne,5.821299639,4.671608343,8.397756556,4.807846921,3.806281912,7.677989763,7.26192441,5.391026778,8.543263965,12.6297846,17.83291977,11.32075472,4.602379461,4.546255507,8.050436469,4.564178613,5.837691918,8.951078829,5.733034018,4.464931309,6.152839143,5.908788282,5.483870968,6.760098928,5.686817663,5.094976034,5.228648285,8.486888731,4.598502003,6.002302253,6.805389732,6.126126126,7.029068813,5.254120879,8.407994487,6.022959585,7.209828645,6.614447346,5.819829239,7.855740046,10.41342328,10.81755773,5.778322535,5.437510457,6.768734891,6.933289625,9.780666125,7.006013145,,,,,,,,,,,,,,,,
Franche-Comte,10.89941641,11.2383133,7.188160677,6.08311229,7.808171745,9.447943683,10.31147224,6.168831169,10.59822747,10.91904843,13.24200913,11.1292369,7.22686211,6.328109502,7.797641689,8.822463768,10.92745638,12.51152074,9.164467898,5.729452682,8.537229361,12.3559322,9.989002933,9.167249825,8.405900124,9.791584742,6.100141044,7.429718876,8.620689655,8.890456871,7.969605937,7.125581395,9.252731759,8.406151695,10.6033237,9.561532793,7.661431065,8.895761324,7.860498735,10.58469637,9.586180714,16.95662259,11.05458814,7.355212355,10.61578491,10.25906736,15.29139191,12.30611897,13.72649573,11.37944359,9.016949153,7.107069957,7.898375389,7.345428924,6.684981685,6.213070725,8.120817508,8.843419456,,,,,,
Haute-Normandie,9.518213866,4.842026547,8.265980896,5.139526669,4.204149073,6.020848311,6.244823588,4.20640327,6.384829506,7.287853577,11.05628655,16.27394474,6.912972085,6.564748201,4.75465313,5.303161168,4.57960644,11.89974233,7.524190858,5.199039121,5.460980954,8.311561071,7.178817826,7.637231504,7.66649891,6.547510487,6.497649429,5.296866886,3.207160172,5.91775326,5.268406182,4.693079408,6.019384458,10.40860938,12.02567491,6.720702465,6.081429308,6.011216264,5.449059283,8.511013216,8.89198329,7.913340935,6.073790463,5.296321526,6.550522648,5.390463027,10.99239406,8.367922962,7.389730086,5.012621709,4.786379698,5.307705872,5.952176157,9.30153322,6.855413105,4.578066279,5.822036844,7.321131448,,,,,,
